match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,170.5,3,0,0,raspberry_full_control
1,2,raspberry,180.0,3,0,0,time
2,1,raspberry,161.0,3,0,0,raspberry_full_control
2,2,raspberry,167.0,3,0,0,raspberry_full_control
3,1,raspberry,171.0,3,0,0,raspberry_full_control
3,2,blueberry,141.5,-3,0,0,blueberry_full_control
3,3,raspberry,174.0,3,0,0,raspberry_full_control
4,1,raspberry,174.0,3,0,0,raspberry_full_control
4,2,raspberry,180.0,3,0,0,time
5,1,raspberry,173.0,3,0,0,raspberry_full_control
5,2,raspberry,180.0,3,0,0,time
6,1,raspberry,180.0,3,0,0,time
6,2,raspberry,180.0,3,0,0,time
7,1,raspberry,180.0,3,0,0,time
7,2,raspberry,164.0,3,0,0,raspberry_full_control
8,1,blueberry,172.5,-3,0,0,blueberry_full_control
8,2,raspberry,180.0,3,0,0,time
8,3,raspberry,158.0,3,0,0,raspberry_full_control
9,1,raspberry,170.0,3,0,0,raspberry_full_control
9,2,raspberry,180.0,3,0,0,time
10,1,raspberry,180.0,3,0,0,time
10,2,raspberry,155.5,3,0,0,raspberry_full_control
