match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,raspberry,2,0,2,0,1,ranged_focus,swarm_focus
2,raspberry,2,1,3,0,2,ranged_focus,upgrade_focus
3,raspberry,2,0,2,0,1,ranged_focus,swarm_focus
4,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
5,raspberry,2,0,2,0,1,ranged_focus,mixed_composition
6,raspberry,2,0,2,0,1,ranged_focus,swarm_focus
7,blueberry,1,2,3,0,3,ranged_focus,upgrade_focus
8,raspberry,2,0,2,0,1,ranged_focus,swarm_focus
9,raspberry,2,0,2,0,1,ranged_focus,swarm_focus
10,raspberry,2,0,2,0,2,ranged_focus,upgrade_focus
