match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,108.0,-3,0,1,blueberry_full_control
1,2,blueberry,179.0,-3,0,6,blueberry_full_control
2,1,blueberry,116.0,-3,0,2,blueberry_full_control
2,2,blueberry,99.0,-3,0,2,blueberry_full_control
3,1,blueberry,98.0,-3,0,1,blueberry_full_control
3,2,blueberry,130.5,-3,0,3,blueberry_full_control
4,1,blueberry,116.5,-3,0,1,blueberry_full_control
4,2,blueberry,109.0,-3,0,2,blueberry_full_control
5,1,blueberry,105.5,-3,0,1,blueberry_full_control
5,2,blueberry,93.5,-3,0,2,blueberry_full_control
6,1,blueberry,105.5,-3,0,1,blueberry_full_control
6,2,blueberry,96.5,-3,0,2,blueberry_full_control
7,1,blueberry,141.5,-3,1,3,blueberry_full_control
7,2,blueberry,123.0,-3,1,5,blueberry_full_control
8,1,blueberry,180.0,-3,2,5,time
8,2,blueberry,99.5,-3,2,6,blueberry_full_control
9,1,blueberry,100.5,-3,0,1,blueberry_full_control
9,2,blueberry,118.5,-3,0,2,blueberry_full_control
10,1,blueberry,100.5,-3,0,1,blueberry_full_control
10,2,blueberry,99.0,-3,0,3,blueberry_full_control
