match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,123.0,-3,0,0,blueberry_full_control
1,2,blueberry,103.0,-3,0,0,blueberry_full_control
2,1,blueberry,108.0,-3,0,0,blueberry_full_control
2,2,blueberry,103.0,-3,0,0,blueberry_full_control
3,1,blueberry,109.5,-3,0,0,blueberry_full_control
3,2,blueberry,99.5,-3,0,0,blueberry_full_control
4,1,blueberry,115.0,-3,0,0,blueberry_full_control
4,2,blueberry,116.5,-3,0,0,blueberry_full_control
5,1,blueberry,103.0,-3,0,0,blueberry_full_control
5,2,blueberry,112.0,-3,0,0,blueberry_full_control
6,1,blueberry,111.5,-3,0,0,blueberry_full_control
6,2,blueberry,180.0,-3,0,0,time
7,1,blueberry,108.0,-3,0,0,blueberry_full_control
7,2,blueberry,112.5,-3,0,0,blueberry_full_control
8,1,blueberry,102.5,-3,0,0,blueberry_full_control
8,2,blueberry,108.5,-3,0,0,blueberry_full_control
9,1,blueberry,122.0,-3,0,0,blueberry_full_control
9,2,blueberry,103.0,-3,0,0,blueberry_full_control
10,1,blueberry,110.0,-3,0,0,blueberry_full_control
10,2,blueberry,112.0,-3,0,0,blueberry_full_control
