match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,blueberry,1,2,3,1,2,special_focus,upgrade_focus
2,raspberry,2,1,3,5,2,upgrade_focus,upgrade_focus
3,blueberry,0,2,2,2,2,upgrade_focus,upgrade_focus
4,blueberry,0,2,2,3,5,upgrade_focus,upgrade_focus
5,blueberry,0,2,2,1,2,special_focus,upgrade_focus
6,blueberry,0,2,2,0,0,special_focus,swarm_focus
7,blueberry,0,2,2,2,1,upgrade_focus,swarm_focus
8,blueberry,0,2,2,4,5,upgrade_focus,upgrade_focus
9,blueberry,0,2,2,0,0,special_focus,swarm_focus
10,raspberry,2,0,2,1,1,special_focus,swarm_focus
