match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,176.0,3,1,2,raspberry_full_control
1,2,blueberry,111.0,-3,1,2,blueberry_full_control
1,3,blueberry,102.5,-3,1,2,blueberry_full_control
2,1,blueberry,129.5,-3,1,1,blueberry_full_control
2,2,raspberry,143.0,3,3,1,raspberry_full_control
2,3,raspberry,173.0,3,5,2,raspberry_full_control
3,1,blueberry,180.0,-1,2,1,time
3,2,blueberry,104.0,-3,2,2,blueberry_full_control
4,1,blueberry,167.5,-3,1,3,blueberry_full_control
4,2,blueberry,173.5,-3,3,5,blueberry_full_control
5,1,blueberry,180.0,-3,1,2,time
5,2,blueberry,104.0,-3,1,2,blueberry_full_control
6,1,blueberry,104.0,-3,0,0,blueberry_full_control
6,2,blueberry,110.0,-3,0,0,blueberry_full_control
7,1,blueberry,138.5,-3,1,1,blueberry_full_control
7,2,blueberry,108.5,-3,2,1,blueberry_full_control
8,1,blueberry,180.0,-2,4,4,time
8,2,blueberry,104.5,-3,4,5,blueberry_full_control
9,1,blueberry,114.5,-3,0,0,blueberry_full_control
9,2,blueberry,110.0,-3,0,0,blueberry_full_control
10,1,raspberry,132.0,3,0,0,raspberry_full_control
10,2,raspberry,137.0,3,1,1,raspberry_full_control
