match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,135.5,-3,0,1,blueberry_full_control
1,2,blueberry,117.5,-3,0,2,blueberry_full_control
2,1,blueberry,111.0,-3,0,0,blueberry_full_control
2,2,blueberry,177.5,-3,2,1,blueberry_full_control
3,1,blueberry,169.5,-3,0,1,blueberry_full_control
3,2,blueberry,120.5,-3,0,2,blueberry_full_control
4,1,blueberry,124.0,-3,0,0,blueberry_full_control
4,2,blueberry,180.0,-3,4,1,time
5,1,blueberry,170.5,-3,0,1,blueberry_full_control
5,2,blueberry,113.5,-3,0,2,blueberry_full_control
6,1,blueberry,118.5,-3,1,0,blueberry_full_control
6,2,blueberry,129.5,-3,1,0,blueberry_full_control
7,1,blueberry,180.0,-3,3,2,time
7,2,blueberry,157.5,-3,4,4,blueberry_full_control
8,1,blueberry,115.0,-3,0,0,blueberry_full_control
8,2,blueberry,135.5,-3,1,1,blueberry_full_control
9,1,blueberry,126.5,-3,0,1,blueberry_full_control
9,2,blueberry,112.0,-3,0,2,blueberry_full_control
10,1,blueberry,125.5,-3,0,1,blueberry_full_control
10,2,blueberry,116.5,-3,0,3,blueberry_full_control
