match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,180.0,-1,3,0,time
1,2,blueberry,180.0,-1,7,0,time
2,1,raspberry,180.0,0,4,0,time
2,2,blueberry,180.0,-1,9,0,time
2,3,raspberry,180.0,0,10,0,time
3,1,blueberry,172.0,-3,1,0,blueberry_full_control
3,2,blueberry,180.0,-1,5,0,time
4,1,blueberry,180.0,-2,2,0,time
4,2,blueberry,180.0,-1,7,0,time
5,1,raspberry,180.0,0,5,0,time
5,2,blueberry,180.0,-1,11,0,time
5,3,raspberry,180.0,0,14,0,time
6,1,blueberry,180.0,-1,2,0,time
6,2,raspberry,180.0,0,6,0,time
6,3,raspberry,180.0,1,9,0,time
7,1,blueberry,174.0,-3,1,0,blueberry_full_control
7,2,blueberry,180.0,-2,4,0,time
8,1,blueberry,180.0,-3,4,0,time
8,2,blueberry,180.0,-1,8,0,time
9,1,raspberry,180.0,0,4,0,time
9,2,blueberry,180.0,0,9,0,time
9,3,blueberry,180.0,0,10,0,time
10,1,blueberry,180.0,-1,1,0,time
10,2,blueberry,180.0,-1,3,0,time
