match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,raspberry,2,1,3,3,0,upgrade_focus,swarm_focus
2,blueberry,0,2,2,1,1,swarm_focus,swarm_focus
3,raspberry,2,1,3,2,0,upgrade_focus,swarm_focus
4,blueberry,0,2,2,4,6,upgrade_focus,upgrade_focus
5,blueberry,1,2,3,5,4,upgrade_focus,upgrade_focus
6,raspberry,2,0,2,1,3,swarm_focus,upgrade_focus
7,blueberry,1,2,3,2,2,upgrade_focus,upgrade_focus
8,blueberry,1,2,3,1,2,swarm_focus,upgrade_focus
9,blueberry,0,2,2,3,4,upgrade_focus,upgrade_focus
10,blueberry,0,2,2,5,7,upgrade_focus,upgrade_focus
