match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,132.5,-3,0,0,blueberry_full_control
1,2,blueberry,118.0,-3,0,0,blueberry_full_control
2,1,blueberry,123.5,-3,0,0,blueberry_full_control
2,2,blueberry,180.0,-3,1,0,time
3,1,blueberry,176.0,-3,0,0,blueberry_full_control
3,2,blueberry,139.0,-3,1,0,blueberry_full_control
4,1,blueberry,176.5,-3,0,0,blueberry_full_control
4,2,blueberry,176.5,-3,3,0,blueberry_full_control
5,1,blueberry,118.0,-3,0,0,blueberry_full_control
5,2,blueberry,118.0,-3,0,0,blueberry_full_control
6,1,blueberry,170.5,-3,0,0,blueberry_full_control
6,2,blueberry,122.5,-3,0,0,blueberry_full_control
7,1,blueberry,164.5,-3,0,0,blueberry_full_control
7,2,blueberry,123.5,-3,0,0,blueberry_full_control
8,1,blueberry,124.0,-3,0,0,blueberry_full_control
8,2,blueberry,118.0,-3,0,0,blueberry_full_control
9,1,blueberry,134.0,-3,0,0,blueberry_full_control
9,2,blueberry,131.0,-3,0,0,blueberry_full_control
10,1,blueberry,142.0,-3,0,0,blueberry_full_control
10,2,blueberry,115.0,-3,0,0,blueberry_full_control
