match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,raspberry,2,1,3,3,0,upgrade_focus,tank_focus
2,raspberry,2,1,3,1,0,tank_focus,tank_focus
3,raspberry,2,0,2,2,0,upgrade_focus,tank_focus
4,blueberry,1,2,3,1,1,tank_focus,tank_focus
5,raspberry,2,0,2,0,0,tank_focus,tank_focus
6,blueberry,1,2,3,2,0,upgrade_focus,tank_focus
7,blueberry,1,2,3,1,0,tank_focus,tank_focus
8,blueberry,1,2,3,1,0,tank_focus,tank_focus
9,raspberry,2,0,2,0,0,tank_focus,tank_focus
10,blueberry,0,2,2,0,0,tank_focus,tank_focus
