match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,166.5,-3,1,0,blueberry_full_control
1,2,raspberry,173.0,3,3,0,raspberry_full_control
1,3,raspberry,148.5,2,3,0,raspberry_full_control
2,1,raspberry,146.5,2,0,0,raspberry_full_control
2,2,blueberry,152.0,-3,0,0,blueberry_full_control
2,3,raspberry,180.0,3,1,0,time
3,1,raspberry,166.5,2,1,0,raspberry_full_control
3,2,raspberry,179.0,3,2,0,raspberry_full_control
4,1,blueberry,163.5,-3,1,1,blueberry_full_control
4,2,raspberry,146.5,3,1,1,raspberry_full_control
4,3,blueberry,163.0,-3,1,1,blueberry_full_control
5,1,raspberry,160.0,1,0,0,raspberry_full_control
5,2,raspberry,149.5,1,0,0,raspberry_full_control
6,1,raspberry,169.0,1,1,0,raspberry_full_control
6,2,blueberry,180.0,-2,2,0,time
6,3,blueberry,180.0,-3,2,0,time
7,1,blueberry,180.0,-3,0,0,time
7,2,raspberry,178.5,3,1,0,raspberry_full_control
7,3,blueberry,180.0,-3,1,0,time
8,1,raspberry,157.0,1,1,0,raspberry_full_control
8,2,blueberry,158.5,-3,1,0,blueberry_full_control
8,3,blueberry,150.5,-3,1,0,blueberry_full_control
9,1,raspberry,179.5,3,0,0,raspberry_full_control
9,2,raspberry,160.0,1,0,0,raspberry_full_control
10,1,blueberry,180.0,-3,0,0,time
10,2,blueberry,180.0,-3,0,0,time
