match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,165.0,3,3,1,raspberry_full_control
1,2,raspberry,165.0,3,3,1,raspberry_full_control
2,1,raspberry,177.0,3,3,2,raspberry_full_control
2,2,raspberry,153.0,3,3,2,raspberry_full_control
3,1,raspberry,174.0,3,3,1,raspberry_full_control
3,2,raspberry,153.0,3,3,1,raspberry_full_control
4,1,raspberry,169.0,3,3,1,raspberry_full_control
4,2,raspberry,150.0,3,3,2,raspberry_full_control
5,1,raspberry,180.0,1,3,1,time
5,2,raspberry,169.5,3,3,1,raspberry_full_control
6,1,raspberry,180.0,2,3,2,time
6,2,raspberry,180.0,3,3,2,time
7,1,blueberry,180.0,-3,2,3,time
7,2,raspberry,180.0,1,3,3,time
7,3,raspberry,180.0,3,3,3,time
8,1,raspberry,166.0,3,3,2,raspberry_full_control
8,2,raspberry,180.0,3,3,2,time
9,1,blueberry,180.0,-2,3,2,time
9,2,blueberry,180.0,-3,3,3,time
10,1,raspberry,180.0,3,3,1,time
10,2,raspberry,156.0,3,3,1,raspberry_full_control
