match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,blueberry,0,2,2,0,0,special_focus,swarm_focus
2,blueberry,0,2,2,0,0,special_focus,swarm_focus
3,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
4,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
5,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
6,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
7,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
8,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
9,blueberry,1,2,3,0,1,mixed_composition,mixed_composition
10,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
11,blueberry,0,2,2,0,1,mixed_composition,swarm_focus
12,blueberry,0,2,2,0,1,mixed_composition,mixed_composition
13,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
14,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
15,blueberry,0,2,2,0,1,special_focus,mixed_composition
16,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
17,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
18,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
19,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
20,blueberry,0,2,2,0,0,tank_aoe_focus,mixed_composition
21,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
22,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
23,blueberry,1,2,3,0,1,mixed_composition,swarm_focus
24,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
25,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
26,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
27,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
28,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
29,blueberry,0,2,2,0,1,mixed_composition,mixed_composition
30,blueberry,1,2,3,0,1,special_focus,mixed_composition
31,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
32,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
33,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
34,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
35,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
36,raspberry,2,0,2,0,1,mixed_composition,mixed_composition
37,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
38,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
