match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,103.0,-3,0,0,blueberry_full_control
1,2,blueberry,102.5,-3,0,0,blueberry_full_control
2,1,blueberry,149.5,-3,0,0,blueberry_full_control
2,2,blueberry,137.5,-3,0,0,blueberry_full_control
3,1,blueberry,163.5,-3,0,0,blueberry_full_control
3,2,blueberry,174.5,-3,0,0,blueberry_full_control
4,1,blueberry,154.5,-3,0,0,blueberry_full_control
4,2,blueberry,180.0,-3,0,0,time
5,1,blueberry,180.0,-2,0,0,time
5,2,blueberry,180.0,-3,0,0,time
6,1,blueberry,180.0,-2,0,0,time
6,2,blueberry,175.5,-3,0,0,blueberry_full_control
7,1,blueberry,166.5,-3,0,0,blueberry_full_control
7,2,blueberry,144.5,-3,0,0,blueberry_full_control
8,1,blueberry,180.0,-1,0,0,time
8,2,blueberry,180.0,-1,0,0,time
9,1,raspberry,177.5,3,0,0,raspberry_full_control
9,2,blueberry,180.0,-3,0,1,time
9,3,blueberry,102.5,-3,0,1,blueberry_full_control
10,1,blueberry,180.0,-3,0,0,time
10,2,blueberry,180.0,-2,0,0,time
11,1,blueberry,180.0,-1,0,0,time
11,2,blueberry,180.0,-3,0,1,time
12,1,blueberry,180.0,-1,0,0,time
12,2,blueberry,180.0,-2,0,1,time
13,1,raspberry,180.0,2,0,0,time
13,2,raspberry,180.0,3,0,0,time
14,1,raspberry,167.0,3,0,0,raspberry_full_control
14,2,blueberry,153.0,-3,0,0,blueberry_full_control
14,3,raspberry,180.0,2,0,0,time
15,1,blueberry,143.0,-3,0,0,blueberry_full_control
15,2,blueberry,128.0,-3,0,1,blueberry_full_control
16,1,blueberry,180.0,-1,0,0,time
16,2,raspberry,180.0,3,0,0,time
16,3,blueberry,180.0,-3,0,0,time
17,1,blueberry,180.0,-2,0,0,time
17,2,blueberry,165.0,-3,0,0,blueberry_full_control
18,1,blueberry,180.0,-2,0,0,time
18,2,blueberry,178.0,-3,0,0,blueberry_full_control
19,1,blueberry,180.0,-3,0,0,time
19,2,blueberry,141.5,-3,0,0,blueberry_full_control
20,1,blueberry,174.0,-3,0,0,blueberry_full_control
20,2,blueberry,180.0,-2,0,0,time
21,1,blueberry,164.5,-3,0,0,blueberry_full_control
21,2,blueberry,180.0,-1,0,0,time
22,1,blueberry,180.0,-2,0,0,time
