team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,18572,12.3813,0.1008,3247,2.1647,18442,598870.93,399.2473,16457020.8,0.0,43913,171625,310485.5,16.7179,2817,22619,16
raspberry,macaron,마카롱,98909,65.9393,0.5369,0,0.0,123807,0.0,0.0,13875306.02,14857449.35,0,210613,703381.0,7.1114,0,61105,16
raspberry,pie,파이,32663,21.7753,0.1773,9090,6.06,32808,1323353.26,882.2355,5970846.44,0.0,40700,56114,415656.5,12.7256,3820,16994,15
raspberry,scone,스콘,15491,10.3273,0.0841,30456,20.304,13785,4117859.51,2745.2397,6135945.02,0.0,58942,38441,332589.0,21.4698,5683,10819,13
raspberry,tart,타르트,18596,12.3973,0.1009,16110,10.74,15465,3683493.19,2455.6621,5027847.89,0.0,105882,31053,402000.0,21.6176,15033,9841,13
blueberry,baumkuchen,바움쿠헨,18847,12.5647,0.115,5426,3.6173,9524,2105854.96,1403.9033,2955876.14,0.0,74626,82642,675907.5,35.8629,11160,6258,13
blueberry,pannacotta,판나코타,40929,27.286,0.2497,80396,53.5973,31301,16859011.13,11239.3408,666748.02,0.0,25240,15613,630879.5,15.414,3343,3628,15
blueberry,pie,파이,74419,49.6127,0.4541,53428,35.6187,32708,10343931.87,6895.9546,3405726.24,0.0,217683,93439,2842650.0,38.1979,55066,9048,12
blueberry,scone,스콘,9829,6.5527,0.06,47836,31.8907,4258,9021462.49,6014.3083,1214417.54,0.0,77352,26931,488928.0,49.7434,18261,3786,13
blueberry,tarte_tatin,타르트·타탱,19857,13.238,0.1212,17221,11.4807,6352,9136705.71,6091.1371,1480808.96,0.0,112945,30812,989427.0,49.8276,33548,4633,15
