team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,53943,35.962,0.2647,10442,6.9613,38907,1904518.68,1269.6791,32942901.78,0.0,140524,420543,1562690.5,28.9693,21828,36133,18
raspberry,macaron,마카롱,29271,19.514,0.1436,0,0.0,25057,0.0,0.0,3268208.82,11143387.41,0,52890,542570.0,18.5361,0,5824,14
raspberry,pie,파이,42230,28.1533,0.2072,15450,10.3,30695,2453874.22,1635.9161,5954058.09,0.0,74058,51916,1159447.0,27.4555,15947,9840,16
raspberry,scone,스콘,18736,12.4907,0.0919,38307,25.538,11231,5875918.59,3917.2791,5129172.93,0.0,81066,35536,759008.0,40.5107,15380,8470,13
raspberry,tart,타르트,59623,39.7487,0.2926,63526,42.3507,29145,13992127.47,9328.085,9375853.74,0.0,408660,77963,2649929.5,44.4448,112908,30013,18
blueberry,baumkuchen,바움쿠헨,39691,26.4607,0.2191,9976,6.6507,32388,4271992.36,2847.9949,9507355.58,0.0,151044,323010,787498.0,19.8407,9698,56620,17
blueberry,pannacotta,판나코타,15999,10.666,0.0883,36690,24.46,14627,13262980.87,8841.9872,450125.41,0.0,10837,12946,128004.0,8.0008,1054,5193,15
blueberry,pie,파이,66772,44.5147,0.3686,21203,14.1353,50660,7787762.96,5191.842,5020459.84,0.0,158274,140627,1445945.0,21.655,16930,32192,16
blueberry,scone,스콘,12278,8.1853,0.0678,33545,22.3633,8418,11170713.24,7447.1422,2242051.55,0.0,83299,59006,412724.0,33.6149,12104,14738,18
blueberry,tarte_tatin,타르트·타탱,46434,30.956,0.2563,33621,22.414,32469,20176745.94,13451.164,7006446.58,0.0,235394,168719,1470148.0,31.661,50494,57320,17
