match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,144.5,3,0,0,raspberry_full_control
1,2,raspberry,135.0,3,0,0,raspberry_full_control
2,1,raspberry,180.0,3,0,0,time
2,2,raspberry,180.0,3,0,0,time
3,1,raspberry,180.0,3,0,0,time
3,2,raspberry,180.0,3,0,0,time
4,1,blueberry,165.0,-3,0,0,blueberry_full_control
4,2,raspberry,180.0,1,0,0,time
4,3,blueberry,167.0,-3,0,0,blueberry_full_control
5,1,blueberry,174.5,-3,0,0,blueberry_full_control
5,2,raspberry,180.0,2,0,0,time
5,3,raspberry,180.0,2,0,0,time
6,1,raspberry,180.0,2,0,0,time
6,2,raspberry,180.0,2,0,0,time
7,1,blueberry,179.5,-3,0,0,blueberry_full_control
7,2,blueberry,151.0,-3,0,0,blueberry_full_control
8,1,raspberry,180.0,2,0,0,time
8,2,raspberry,180.0,3,0,0,time
9,1,blueberry,180.0,-3,0,0,time
9,2,blueberry,180.0,-2,0,0,time
10,1,blueberry,143.0,-3,0,0,blueberry_full_control
10,2,blueberry,137.0,-3,0,0,blueberry_full_control
11,1,blueberry,180.0,-1,0,0,time
11,2,raspberry,180.0,3,0,0,time
11,3,blueberry,180.0,-2,0,0,time
12,1,raspberry,180.0,0,0,0,time
12,2,raspberry,180.0,2,0,0,time
13,1,blueberry,104.5,-1,0,0,raspberry_full_control
13,2,raspberry,180.0,1,0,0,time
13,3,raspberry,180.0,2,0,0,time
14,1,raspberry,180.0,0,0,0,time
14,2,raspberry,165.5,3,0,0,raspberry_full_control
15,1,blueberry,180.0,-2,0,0,time
15,2,blueberry,180.0,-1,0,0,time
16,1,blueberry,163.5,-3,0,0,blueberry_full_control
16,2,blueberry,178.5,-3,0,0,blueberry_full_control
17,1,blueberry,154.5,-3,0,0,blueberry_full_control
17,2,raspberry,180.0,0,0,0,time
17,3,blueberry,180.0,-1,0,0,time
18,1,blueberry,180.0,-3,0,0,time
18,2,raspberry,180.0,3,0,0,time
18,3,blueberry,173.0,-3,0,0,blueberry_full_control
19,1,raspberry,180.0,1,0,0,time
19,2,blueberry,180.0,-2,0,0,time
19,3,blueberry,180.0,-2,0,0,time
20,1,raspberry,180.0,2,0,0,time
20,2,raspberry,180.0,1,0,0,time
21,1,blueberry,161.0,-3,0,0,blueberry_full_control
21,2,blueberry,163.5,-3,0,0,blueberry_full_control
22,1,blueberry,144.0,-3,0,0,blueberry_full_control
22,2,blueberry,170.0,-3,0,0,blueberry_full_control
23,1,blueberry,180.0,-1,0,0,time
23,2,raspberry,180.0,1,0,0,time
23,3,blueberry,180.0,-3,0,0,time
24,1,raspberry,180.0,2,0,1,time
24,2,raspberry,144.0,3,0,1,raspberry_full_control
25,1,blueberry,180.0,-1,0,0,time
25,2,raspberry,180.0,2,0,0,time
25,3,blueberry,180.0,-3,0,0,time
26,1,blueberry,180.0,-3,0,0,time
26,2,blueberry,180.0,-3,0,0,time
27,1,blueberry,180.0,-3,1,0,time
27,2,raspberry,137.0,3,1,0,raspberry_full_control
27,3,raspberry,157.0,3,1,0,raspberry_full_control
28,1,blueberry,180.0,-3,0,0,time
28,2,blueberry,174.0,-3,0,0,blueberry_full_control
29,1,raspberry,174.5,3,0,0,raspberry_full_control
29,2,raspberry,180.0,3,0,0,time
30,1,raspberry,180.0,2,0,0,time
30,2,blueberry,180.0,0,0,0,time
30,3,blueberry,180.0,-1,0,0,time
31,1,blueberry,167.0,-3,0,0,blueberry_full_control
31,2,blueberry,179.5,-3,0,0,blueberry_full_control
32,1,raspberry,180.0,1,0,0,time
32,2,raspberry,180.0,3,0,1,time
33,1,raspberry,180.0,2,0,0,time
33,2,blueberry,168.0,-3,0,0,blueberry_full_control
33,3,blueberry,180.0,-3,0,0,time
34,1,blueberry,142.5,-3,0,0,blueberry_full_control
34,2,blueberry,150.0,-3,0,0,blueberry_full_control
35,1,blueberry,135.0,-3,0,0,blueberry_full_control
35,2,blueberry,143.5,-3,0,0,blueberry_full_control
36,1,blueberry,180.0,-3,0,1,time
36,2,raspberry,162.5,3,0,1,raspberry_full_control
36,3,blueberry,141.0,-3,0,1,blueberry_full_control
37,1,blueberry,165.0,-3,0,0,blueberry_full_control
37,2,raspberry,180.0,1,0,0,time
37,3,blueberry,166.5,-3,0,0,blueberry_full_control
38,1,raspberry,81.0,2,0,0,raspberry_full_control
38,2,raspberry,176.0,3,0,0,raspberry_full_control
39,1,raspberry,180.0,3,0,0,time
39,2,raspberry,176.0,3,0,0,raspberry_full_control
40,1,raspberry,179.5,3,1,0,raspberry_full_control
40,2,raspberry,127.5,3,1,0,raspberry_full_control
41,1,blueberry,180.0,-3,0,0,time
41,2,blueberry,180.0,-3,1,0,time
42,1,blueberry,180.0,-2,0,0,time
42,2,raspberry,180.0,2,1,0,time
42,3,raspberry,140.5,3,1,0,raspberry_full_control
43,1,raspberry,180.0,1,0,0,time
43,2,raspberry,180.0,1,0,0,time
44,1,raspberry,180.0,3,1,0,time
44,2,raspberry,146.5,3,1,0,raspberry_full_control
45,1,raspberry,140.0,3,0,0,raspberry_full_control
45,2,raspberry,180.0,2,0,0,time
46,1,blueberry,180.0,-3,0,1,time
46,2,raspberry,155.0,3,0,1,raspberry_full_control
46,3,raspberry,162.0,3,0,1,raspberry_full_control
47,1,blueberry,180.0,-2,0,0,time
47,2,raspberry,180.0,3,0,0,time
47,3,blueberry,180.0,-3,0,0,time
48,1,raspberry,180.0,1,0,0,time
48,2,raspberry,180.0,3,0,0,time
49,1,blueberry,123.0,-3,0,0,blueberry_full_control
49,2,blueberry,123.0,-3,0,0,blueberry_full_control
50,1,raspberry,176.0,3,0,0,raspberry_full_control
50,2,raspberry,180.0,1,0,1,time
51,1,raspberry,165.5,3,0,0,raspberry_full_control
51,2,raspberry,180.0,3,0,0,time
52,1,blueberry,180.0,-3,0,0,time
52,2,blueberry,168.5,-3,0,0,blueberry_full_control
53,1,blueberry,172.5,-3,0,0,blueberry_full_control
53,2,raspberry,180.0,1,0,0,time
53,3,blueberry,132.0,-3,0,0,blueberry_full_control
54,1,raspberry,180.0,2,0,0,time
54,2,raspberry,149.5,3,0,0,raspberry_full_control
55,1,raspberry,180.0,2,0,0,time
55,2,raspberry,180.0,3,0,0,time
56,1,raspberry,180.0,1,0,0,time
56,2,raspberry,180.0,1,0,0,time
57,1,blueberry,174.0,-3,0,0,blueberry_full_control
57,2,blueberry,142.5,-3,0,0,blueberry_full_control
58,1,raspberry,180.0,3,0,0,time
58,2,blueberry,180.0,-1,0,0,time
58,3,raspberry,180.0,2,0,0,time
59,1,raspberry,180.0,3,0,1,time
59,2,blueberry,180.0,-3,0,1,time
59,3,raspberry,180.0,1,0,1,time
60,1,blueberry,180.0,-2,0,0,time
60,2,blueberry,135.0,-3,0,0,blueberry_full_control
61,1,blueberry,180.0,-2,0,0,time
61,2,raspberry,180.0,2,0,0,time
61,3,blueberry,180.0,-1,1,0,time
62,1,blueberry,153.5,-3,0,0,blueberry_full_control
62,2,blueberry,180.0,-2,0,0,time
63,1,blueberry,180.0,-3,0,0,time
63,2,raspberry,180.0,3,0,1,time
63,3,raspberry,180.0,0,0,1,time
64,1,blueberry,142.5,-3,0,0,blueberry_full_control
64,2,blueberry,180.0,-2,0,0,time
65,1,blueberry,172.5,-3,0,1,blueberry_full_control
65,2,blueberry,174.5,-3,0,1,blueberry_full_control
66,1,blueberry,180.0,-3,0,0,time
66,2,blueberry,180.0,-3,0,1,time
67,1,raspberry,180.0,1,0,0,time
67,2,raspberry,180.0,2,0,0,time
68,1,blueberry,169.0,-3,0,0,blueberry_full_control
68,2,blueberry,180.0,-3,0,0,time
69,1,blueberry,133.5,-3,0,0,blueberry_full_control
69,2,blueberry,148.0,-3,0,1,blueberry_full_control
70,1,raspberry,180.0,3,0,0,time
70,2,raspberry,180.0,3,1,0,time
71,1,raspberry,180.0,3,0,0,time
71,2,raspberry,180.0,3,0,0,time
72,1,blueberry,136.0,-3,0,0,blueberry_full_control
72,2,blueberry,136.5,-3,0,0,blueberry_full_control
73,1,raspberry,180.0,2,1,0,time
73,2,raspberry,180.0,2,1,0,time
74,1,raspberry,180.0,2,0,0,time
74,2,blueberry,180.0,-1,0,0,time
74,3,blueberry,130.5,-3,0,0,blueberry_full_control
75,1,blueberry,180.0,-2,0,0,time
75,2,raspberry,180.0,2,0,0,time
75,3,raspberry,180.0,3,0,0,time
76,1,raspberry,180.0,2,0,0,time
76,2,raspberry,180.0,0,0,0,time
77,1,raspberry,180.0,2,0,0,time
77,2,raspberry,180.0,2,0,0,time
78,1,raspberry,180.0,2,0,0,time
78,2,blueberry,180.0,-1,0,0,time
78,3,raspberry,180.0,0,0,0,time
79,1,raspberry,180.0,2,0,0,time
79,2,blueberry,180.0,-3,0,0,time
79,3,raspberry,180.0,3,0,0,time
80,1,raspberry,180.0,3,0,0,time
80,2,blueberry,180.0,-3,0,0,time
80,3,blueberry,180.0,-2,0,0,time
81,1,raspberry,180.0,2,0,0,time
81,2,blueberry,134.0,-3,0,0,blueberry_full_control
81,3,blueberry,150.0,-3,0,0,blueberry_full_control
82,1,raspberry,180.0,1,0,1,time
82,2,blueberry,133.5,-3,0,1,blueberry_full_control
82,3,blueberry,133.5,-3,0,1,blueberry_full_control
83,1,raspberry,180.0,3,0,0,time
83,2,raspberry,180.0,3,0,0,time
84,1,raspberry,180.0,2,0,0,time
84,2,blueberry,180.0,-3,0,0,time
84,3,blueberry,180.0,-1,0,0,time
85,1,raspberry,180.0,0,0,0,time
85,2,raspberry,180.0,2,0,1,time
86,1,blueberry,151.5,-3,0,1,blueberry_full_control
86,2,blueberry,180.0,-3,0,1,time
87,1,raspberry,180.0,2,1,0,time
87,2,raspberry,161.0,3,1,0,raspberry_full_control
88,1,blueberry,180.0,-2,0,0,time
88,2,raspberry,180.0,2,0,0,time
88,3,blueberry,104.0,-1,0,0,raspberry_full_control
89,1,blueberry,160.0,-3,0,1,blueberry_full_control
89,2,blueberry,147.5,-3,0,1,blueberry_full_control
90,1,blueberry,180.0,-3,0,0,time
90,2,raspberry,180.0,1,0,0,time
90,3,raspberry,180.0,2,0,0,time
91,1,blueberry,180.0,0,0,0,time
91,2,raspberry,180.0,2,0,0,time
91,3,raspberry,180.0,3,0,0,time
92,1,blueberry,156.5,-3,0,0,blueberry_full_control
92,2,raspberry,180.0,1,0,1,time
92,3,blueberry,154.0,-3,0,1,blueberry_full_control
93,1,blueberry,180.0,-1,0,0,time
93,2,blueberry,180.0,-3,0,0,time
94,1,raspberry,155.0,3,0,0,raspberry_full_control
94,2,raspberry,176.0,3,0,0,raspberry_full_control
95,1,raspberry,180.0,3,0,0,time
95,2,raspberry,180.0,2,0,0,time
96,1,raspberry,180.0,2,0,0,time
96,2,blueberry,180.0,-1,0,0,time
96,3,blueberry,155.5,-3,1,0,blueberry_full_control
97,1,raspberry,180.0,2,0,1,time
97,2,blueberry,180.0,-1,0,1,time
97,3,raspberry,180.0,3,0,1,time
98,1,raspberry,180.0,2,0,0,time
98,2,blueberry,180.0,-3,0,0,time
98,3,blueberry,180.0,-3,0,0,time
99,1,blueberry,160.0,-3,0,0,blueberry_full_control
99,2,blueberry,180.0,-3,0,1,time
100,1,blueberry,153.0,-3,0,0,blueberry_full_control
100,2,blueberry,180.0,-3,0,0,time
101,1,blueberry,180.0,-2,0,1,time
101,2,raspberry,180.0,1,0,1,time
101,3,raspberry,180.0,2,0,1,time
102,1,blueberry,180.0,-3,0,1,time
102,2,blueberry,180.0,-3,0,1,time
103,1,blueberry,180.0,-3,0,0,time
103,2,blueberry,173.0,-3,0,0,blueberry_full_control
104,1,raspberry,180.0,2,0,0,time
104,2,raspberry,180.0,1,0,1,time
105,1,blueberry,180.0,-3,0,0,time
105,2,raspberry,180.0,2,0,0,time
105,3,blueberry,180.0,-3,0,0,time
106,1,blueberry,180.0,0,0,1,time
106,2,blueberry,173.0,-3,0,1,blueberry_full_control
107,1,blueberry,180.0,-1,0,1,time
107,2,raspberry,180.0,3,0,1,time
107,3,blueberry,153.5,-3,0,1,blueberry_full_control
108,1,raspberry,180.0,2,0,0,time
108,2,raspberry,171.5,3,0,0,raspberry_full_control
109,1,blueberry,166.0,-3,0,0,blueberry_full_control
109,2,blueberry,171.0,-3,0,0,blueberry_full_control
110,1,blueberry,180.0,-2,0,0,time
110,2,blueberry,180.0,-1,0,0,time
111,1,blueberry,180.0,-2,0,0,time
111,2,blueberry,180.0,-3,0,0,time
112,1,blueberry,88.0,-1,0,0,raspberry_full_control
112,2,blueberry,180.0,-3,1,0,time
113,1,blueberry,137.5,-3,0,0,blueberry_full_control
113,2,blueberry,180.0,-2,0,0,time
114,1,blueberry,180.0,-2,0,0,time
114,2,blueberry,164.5,-3,0,0,blueberry_full_control
115,1,raspberry,180.0,2,0,0,time
115,2,blueberry,180.0,-2,0,0,time
115,3,blueberry,180.0,-2,0,0,time
116,1,raspberry,180.0,3,0,0,time
116,2,raspberry,171.0,3,0,0,raspberry_full_control
117,1,blueberry,180.0,-2,0,0,time
117,2,blueberry,180.0,-1,0,0,time
118,1,raspberry,180.0,3,0,0,time
118,2,blueberry,174.0,-3,0,0,blueberry_full_control
118,3,blueberry,171.5,-3,0,0,blueberry_full_control
119,1,raspberry,180.0,2,0,0,time
119,2,blueberry,177.0,-3,0,0,blueberry_full_control
119,3,raspberry,180.0,3,1,0,time
120,1,raspberry,180.0,2,0,0,time
120,2,raspberry,180.0,2,0,0,time
121,1,blueberry,159.5,-3,0,0,blueberry_full_control
121,2,blueberry,127.5,-3,0,1,blueberry_full_control
122,1,raspberry,180.0,1,0,0,time
122,2,raspberry,180.0,1,0,0,time
123,1,blueberry,156.0,-3,0,0,blueberry_full_control
123,2,blueberry,156.0,-3,0,0,blueberry_full_control
124,1,raspberry,180.0,2,0,0,time
124,2,blueberry,144.0,-3,0,0,blueberry_full_control
124,3,blueberry,155.0,-3,0,0,blueberry_full_control
125,1,raspberry,180.0,2,0,0,time
125,2,raspberry,180.0,2,0,0,time
126,1,blueberry,168.5,-3,0,0,blueberry_full_control
126,2,blueberry,180.0,-3,0,0,time
127,1,blueberry,180.0,-3,0,0,time
127,2,blueberry,147.0,-3,0,0,blueberry_full_control
128,1,raspberry,180.0,3,0,0,time
128,2,raspberry,180.0,1,0,1,time
129,1,raspberry,180.0,1,0,0,time
129,2,blueberry,180.0,-1,0,0,time
129,3,blueberry,180.0,-2,0,1,time
130,1,blueberry,180.0,-3,0,0,time
130,2,blueberry,164.5,-3,0,0,blueberry_full_control
131,1,blueberry,180.0,0,0,0,time
131,2,raspberry,180.0,3,0,0,time
131,3,blueberry,163.0,-3,0,0,blueberry_full_control
132,1,raspberry,180.0,1,0,0,time
132,2,blueberry,180.0,-2,0,0,time
132,3,raspberry,180.0,3,0,0,time
133,1,raspberry,180.0,3,0,0,time
133,2,raspberry,180.0,1,0,0,time
134,1,blueberry,180.0,-3,0,0,time
134,2,raspberry,180.0,1,0,0,time
134,3,blueberry,147.0,-3,0,0,blueberry_full_control
135,1,blueberry,122.0,-3,0,0,blueberry_full_control
135,2,blueberry,180.0,-3,0,0,time
136,1,blueberry,180.0,-2,0,0,time
136,2,blueberry,180.0,-2,0,0,time
137,1,raspberry,180.0,3,0,0,time
137,2,raspberry,180.0,2,0,0,time
138,1,blueberry,136.5,-3,0,0,blueberry_full_control
138,2,blueberry,134.5,-3,0,0,blueberry_full_control
139,1,raspberry,180.0,3,0,0,time
139,2,raspberry,164.5,3,0,0,raspberry_full_control
140,1,raspberry,180.0,3,0,0,time
140,2,raspberry,162.5,3,0,1,raspberry_full_control
141,1,raspberry,180.0,1,0,0,time
141,2,raspberry,180.0,1,1,0,time
142,1,raspberry,180.0,3,0,0,time
142,2,raspberry,180.0,3,0,0,time
143,1,raspberry,180.0,1,0,0,time
