team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,8389,5.5927,0.0506,1478,0.9853,8819,269740.2,179.8268,7736801.86,0.0,19781,82901,127913.5,15.2478,1118,12481,17
raspberry,macaron,마카롱,119139,79.426,0.7184,0,0.0,163321,0.0,0.0,17397799.42,12751651.08,0,288543,662241.0,5.5586,0,98181,15
raspberry,pie,파이,23344,15.5627,0.1408,6064,4.0427,25083,1023160.09,682.1067,4568603.41,0.0,30723,53307,210562.5,9.02,1758,24260,15
raspberry,scone,스콘,6707,4.4713,0.0404,13249,8.8327,6169,1733814.72,1155.8765,2708679.19,0.0,25045,17349,127488.5,19.0083,1954,5220,15
raspberry,tart,타르트,8258,5.5053,0.0498,6939,4.626,7207,1630326.89,1086.8846,2299585.22,0.0,44063,14582,155826.5,18.8698,5662,4600,15
blueberry,baumkuchen,바움쿠헨,15769,10.5127,0.1078,4648,3.0987,4325,1627776.39,1085.1843,1451000.57,0.0,58141,40569,676410.5,42.895,12571,2405,12
blueberry,pannacotta,판나코타,41513,27.6753,0.2839,75630,50.42,28613,11114845.51,7409.897,318347.89,0.0,25857,7245,729678.5,17.5771,4703,1310,12
blueberry,pie,파이,67881,45.254,0.4642,89364,59.576,16653,11890899.82,7927.2665,1850254.53,0.0,259031,50164,3127657.5,46.0756,89424,3584,17
blueberry,scone,스콘,4819,3.2127,0.033,27210,18.14,1464,4055357.77,2703.5718,426800.56,0.0,38214,9204,273737.0,56.8037,11108,1370,13
blueberry,tarte_tatin,타르트·타탱,16247,10.8313,0.1111,13747,9.1647,2532,6022589.62,4015.0597,610638.34,0.0,75439,12430,828429.5,50.9897,26936,1823,12
