match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,129.5,3,0,0,raspberry_full_control
1,2,raspberry,130.5,3,0,0,raspberry_full_control
2,1,blueberry,170.5,-3,0,1,blueberry_full_control
2,2,blueberry,111.5,-3,0,1,blueberry_full_control
3,1,raspberry,169.0,3,1,0,raspberry_full_control
3,2,raspberry,130.5,3,1,0,raspberry_full_control
4,1,blueberry,135.0,-3,0,1,blueberry_full_control
4,2,blueberry,118.0,-3,0,1,blueberry_full_control
5,1,raspberry,160.5,3,2,0,raspberry_full_control
5,2,raspberry,130.0,3,2,0,raspberry_full_control
6,1,raspberry,152.0,3,0,0,raspberry_full_control
6,2,raspberry,156.5,3,0,0,raspberry_full_control
7,1,blueberry,133.5,-3,0,1,blueberry_full_control
7,2,raspberry,125.5,3,1,1,raspberry_full_control
7,3,raspberry,127.0,3,2,1,raspberry_full_control
8,1,raspberry,180.0,3,1,0,time
8,2,blueberry,125.0,-3,1,1,blueberry_full_control
8,3,blueberry,123.0,-3,1,1,blueberry_full_control
9,1,blueberry,97.5,-2,0,0,raspberry_full_control
9,2,raspberry,161.0,3,0,0,raspberry_full_control
9,3,raspberry,170.0,3,1,0,raspberry_full_control
10,1,raspberry,161.5,3,0,0,raspberry_full_control
10,2,raspberry,180.0,3,2,1,time
11,1,blueberry,147.5,-3,0,0,blueberry_full_control
11,2,blueberry,157.0,-3,0,0,blueberry_full_control
12,1,raspberry,180.0,2,1,0,time
12,2,raspberry,123.0,3,3,0,raspberry_full_control
13,1,blueberry,180.0,-1,1,0,time
13,2,raspberry,150.5,3,3,0,raspberry_full_control
13,3,raspberry,131.5,3,4,0,raspberry_full_control
14,1,raspberry,180.0,3,0,0,time
14,2,raspberry,180.0,2,0,0,time
15,1,raspberry,180.0,1,1,0,time
15,2,raspberry,148.5,3,4,0,raspberry_full_control
16,1,blueberry,180.0,-1,1,1,time
16,2,raspberry,180.0,0,3,1,time
16,3,raspberry,139.5,3,4,1,raspberry_full_control
17,1,blueberry,135.0,-3,0,1,blueberry_full_control
17,2,blueberry,114.0,-3,0,2,blueberry_full_control
18,1,blueberry,156.0,-3,0,0,blueberry_full_control
18,2,blueberry,141.5,-3,0,1,blueberry_full_control
19,1,blueberry,180.0,-1,3,0,time
19,2,raspberry,120.5,3,5,0,raspberry_full_control
19,3,raspberry,117.5,3,6,0,raspberry_full_control
20,1,raspberry,175.0,3,0,0,raspberry_full_control
20,2,raspberry,180.0,3,2,0,time
21,1,raspberry,180.0,2,2,0,time
21,2,raspberry,152.5,3,3,0,raspberry_full_control
22,1,raspberry,167.0,3,0,0,raspberry_full_control
22,2,raspberry,163.0,3,1,0,raspberry_full_control
23,1,raspberry,180.0,3,1,0,time
23,2,raspberry,180.0,3,2,0,time
24,1,blueberry,180.0,-3,0,0,time
24,2,raspberry,180.0,2,2,0,time
24,3,raspberry,140.0,3,2,0,raspberry_full_control
25,1,raspberry,180.0,0,0,1,time
25,2,raspberry,155.5,3,0,1,raspberry_full_control
26,1,raspberry,180.0,2,0,0,time
26,2,raspberry,180.0,2,0,0,time
27,1,blueberry,163.5,-3,0,0,blueberry_full_control
27,2,raspberry,180.0,3,0,0,time
27,3,raspberry,180.0,3,0,0,time
28,1,blueberry,180.0,-3,0,1,time
28,2,blueberry,113.0,-3,0,1,blueberry_full_control
29,1,blueberry,180.0,-3,0,0,time
29,2,blueberry,180.0,-3,0,0,time
30,1,raspberry,180.0,2,0,0,time
30,2,raspberry,179.0,3,1,0,raspberry_full_control
31,1,blueberry,180.0,-1,0,1,time
31,2,blueberry,180.0,-3,1,3,time
32,1,raspberry,167.0,3,0,0,raspberry_full_control
32,2,raspberry,167.0,3,0,0,raspberry_full_control
33,1,raspberry,180.0,0,1,0,time
33,2,raspberry,164.0,3,2,0,raspberry_full_control
34,1,raspberry,180.0,0,2,0,time
34,2,blueberry,180.0,-2,3,1,time
34,3,raspberry,132.5,3,3,1,raspberry_full_control
35,1,raspberry,180.0,1,2,1,time
35,2,raspberry,155.5,3,3,1,raspberry_full_control
36,1,blueberry,180.0,-3,0,1,time
36,2,raspberry,180.0,1,0,2,time
36,3,blueberry,152.0,-3,1,2,blueberry_full_control
37,1,blueberry,144.5,-3,0,0,blueberry_full_control
37,2,blueberry,163.5,-3,0,0,blueberry_full_control
38,1,blueberry,180.0,-3,0,0,time
38,2,blueberry,180.0,-3,0,0,time
39,1,blueberry,180.0,0,0,0,time
39,2,raspberry,180.0,1,0,0,time
39,3,blueberry,180.0,-2,0,0,time
40,1,raspberry,180.0,2,0,0,time
40,2,blueberry,82.0,0,0,0,raspberry_full_control
40,3,raspberry,180.0,2,0,0,time
41,1,raspberry,180.0,3,0,0,time
41,2,blueberry,148.0,-3,0,1,blueberry_full_control
41,3,blueberry,134.0,-3,0,1,blueberry_full_control
42,1,blueberry,169.5,-3,0,1,blueberry_full_control
42,2,raspberry,166.0,3,0,1,raspberry_full_control
42,3,raspberry,155.0,3,0,1,raspberry_full_control
43,1,blueberry,174.0,-3,0,0,blueberry_full_control
43,2,raspberry,180.0,1,3,0,time
43,3,blueberry,176.0,-3,3,1,blueberry_full_control
44,1,raspberry,180.0,0,1,0,time
44,2,blueberry,120.5,-3,1,0,blueberry_full_control
44,3,raspberry,180.0,3,2,0,time
45,1,blueberry,180.0,-3,0,1,time
45,2,raspberry,180.0,1,1,1,time
45,3,blueberry,150.5,-3,1,1,blueberry_full_control
46,1,blueberry,180.0,-2,0,2,time
46,2,blueberry,109.5,-3,0,2,blueberry_full_control
47,1,raspberry,180.0,1,0,0,time
47,2,blueberry,180.0,-2,0,0,time
47,3,blueberry,180.0,-1,0,0,time
48,1,blueberry,180.0,-3,0,0,time
48,2,raspberry,180.0,3,0,0,time
48,3,raspberry,180.0,2,1,1,time
49,1,raspberry,180.0,1,0,0,time
49,2,blueberry,166.5,-3,0,0,blueberry_full_control
49,3,blueberry,155.5,-3,0,0,blueberry_full_control
50,1,blueberry,123.0,-3,0,0,blueberry_full_control
50,2,blueberry,123.0,-3,0,0,blueberry_full_control
51,1,raspberry,180.0,2,1,0,time
51,2,raspberry,172.0,3,1,0,raspberry_full_control
52,1,raspberry,180.0,2,0,0,time
52,2,blueberry,131.0,-3,0,0,blueberry_full_control
52,3,blueberry,180.0,-3,0,1,time
53,1,raspberry,180.0,3,0,1,time
53,2,raspberry,180.0,1,0,1,time
54,1,blueberry,133.5,-3,0,0,blueberry_full_control
54,2,blueberry,123.0,-3,0,0,blueberry_full_control
55,1,raspberry,165.5,3,0,0,raspberry_full_control
55,2,raspberry,176.5,3,0,0,raspberry_full_control
56,1,blueberry,165.0,-3,0,1,blueberry_full_control
56,2,blueberry,180.0,-2,0,1,time
57,1,blueberry,180.0,-2,0,0,time
57,2,raspberry,180.0,2,0,0,time
57,3,raspberry,180.0,1,1,0,time
58,1,blueberry,159.5,-3,0,0,blueberry_full_control
58,2,blueberry,145.0,-3,0,0,blueberry_full_control
59,1,blueberry,139.0,-3,0,0,blueberry_full_control
59,2,raspberry,180.0,1,0,0,time
59,3,blueberry,180.0,-2,0,0,time
60,1,raspberry,180.0,1,0,0,time
60,2,raspberry,180.0,1,0,0,time
61,1,blueberry,176.0,-3,0,0,blueberry_full_control
61,2,blueberry,165.0,-3,0,0,blueberry_full_control
62,1,blueberry,173.5,-3,0,1,blueberry_full_control
62,2,blueberry,180.0,-2,1,3,time
63,1,raspberry,180.0,1,0,0,time
63,2,blueberry,180.0,-1,0,0,time
63,3,blueberry,180.0,-3,1,1,time
64,1,blueberry,180.0,-2,0,0,time
64,2,blueberry,180.0,-3,0,0,time
65,1,blueberry,180.0,-3,0,1,time
65,2,raspberry,156.0,3,1,1,raspberry_full_control
65,3,raspberry,129.5,3,1,1,raspberry_full_control
66,1,blueberry,133.5,-3,0,0,blueberry_full_control
66,2,blueberry,135.0,-3,0,0,blueberry_full_control
67,1,blueberry,180.0,-2,0,0,time
67,2,raspberry,180.0,1,0,0,time
67,3,blueberry,180.0,-2,0,1,time
68,1,blueberry,180.0,-3,0,0,time
68,2,raspberry,180.0,2,0,0,time
68,3,blueberry,142.0,-3,0,0,blueberry_full_control
69,1,blueberry,144.0,-3,0,0,blueberry_full_control
69,2,blueberry,128.5,-3,0,0,blueberry_full_control
70,1,blueberry,162.0,-3,0,1,blueberry_full_control
70,2,blueberry,93.5,-1,0,2,raspberry_full_control
71,1,blueberry,103.5,-3,1,0,blueberry_full_control
71,2,raspberry,164.0,3,1,0,raspberry_full_control
71,3,blueberry,147.0,-3,1,0,blueberry_full_control
72,1,raspberry,162.5,3,1,0,raspberry_full_control
72,2,raspberry,180.0,3,1,0,time
73,1,blueberry,180.0,-2,0,1,time
73,2,blueberry,153.0,-3,0,1,blueberry_full_control
74,1,blueberry,180.0,-3,0,0,time
74,2,raspberry,180.0,3,1,0,time
74,3,raspberry,180.0,2,2,0,time
75,1,raspberry,180.0,3,1,0,time
75,2,raspberry,180.0,3,1,0,time
76,1,blueberry,180.0,-1,0,1,time
76,2,blueberry,144.0,-3,0,1,blueberry_full_control
77,1,raspberry,180.0,0,0,0,time
77,2,blueberry,180.0,-1,1,1,time
77,3,blueberry,115.0,-3,1,1,blueberry_full_control
78,1,raspberry,164.0,3,0,0,raspberry_full_control
78,2,blueberry,180.0,-2,0,0,time
78,3,raspberry,175.0,3,1,0,raspberry_full_control
79,1,raspberry,180.0,3,0,0,time
79,2,raspberry,180.0,2,0,0,time
80,1,raspberry,180.0,1,0,0,time
80,2,blueberry,180.0,-2,0,0,time
80,3,raspberry,180.0,3,0,0,time
81,1,raspberry,180.0,3,0,0,time
81,2,raspberry,180.0,2,0,0,time
82,1,blueberry,180.0,-1,0,0,time
82,2,blueberry,180.0,-1,1,0,time
83,1,raspberry,180.0,3,0,0,time
83,2,raspberry,180.0,2,0,0,time
84,1,blueberry,132.5,-3,0,0,blueberry_full_control
84,2,blueberry,123.0,-3,0,0,blueberry_full_control
85,1,blueberry,180.0,-1,0,0,time
85,2,raspberry,180.0,2,0,0,time
85,3,raspberry,180.0,2,0,0,time
86,1,blueberry,180.0,-1,2,0,time
86,2,raspberry,151.0,3,2,0,raspberry_full_control
86,3,raspberry,155.0,3,2,0,raspberry_full_control
87,1,raspberry,178.0,3,1,1,raspberry_full_control
87,2,raspberry,180.0,2,2,1,time
88,1,raspberry,180.0,3,2,1,time
88,2,blueberry,180.0,-2,3,1,time
88,3,raspberry,123.0,3,3,1,raspberry_full_control
89,1,blueberry,137.5,-3,0,0,blueberry_full_control
89,2,blueberry,180.0,-2,0,0,time
90,1,raspberry,180.0,1,0,0,time
90,2,blueberry,174.0,-3,0,0,blueberry_full_control
90,3,blueberry,142.5,-3,0,0,blueberry_full_control
91,1,blueberry,142.5,-3,0,0,blueberry_full_control
91,2,blueberry,142.5,-3,0,0,blueberry_full_control
92,1,blueberry,172.5,-3,0,0,blueberry_full_control
92,2,raspberry,180.0,2,0,0,time
92,3,raspberry,174.5,3,0,0,raspberry_full_control
93,1,raspberry,180.0,2,1,0,time
93,2,raspberry,180.0,3,2,0,time
94,1,blueberry,141.5,-3,1,0,blueberry_full_control
94,2,raspberry,180.0,2,3,0,time
94,3,raspberry,180.0,2,3,0,time
95,1,blueberry,180.0,-2,2,1,time
95,2,blueberry,125.5,-3,2,1,blueberry_full_control
96,1,blueberry,180.0,-3,0,0,time
96,2,raspberry,180.0,1,1,0,time
96,3,raspberry,180.0,3,1,1,time
97,1,blueberry,163.0,-3,0,0,blueberry_full_control
97,2,blueberry,180.0,-1,0,0,time
98,1,blueberry,133.5,-3,0,0,blueberry_full_control
98,2,blueberry,138.0,-3,0,0,blueberry_full_control
99,1,blueberry,153.0,-3,0,0,blueberry_full_control
99,2,raspberry,180.0,0,0,0,time
99,3,blueberry,180.0,-1,0,2,time
100,1,raspberry,180.0,3,0,1,time
100,2,blueberry,148.0,-3,0,1,blueberry_full_control
100,3,raspberry,178.0,3,1,1,raspberry_full_control
101,1,blueberry,180.0,-3,0,0,time
101,2,raspberry,180.0,1,0,0,time
101,3,raspberry,180.0,3,0,0,time
102,1,raspberry,180.0,2,0,0,time
102,2,raspberry,180.0,2,0,0,time
103,1,blueberry,180.0,-3,0,0,time
103,2,raspberry,180.0,1,1,0,time
103,3,raspberry,180.0,2,1,0,time
104,1,raspberry,180.0,2,0,0,time
104,2,blueberry,141.5,-3,0,0,blueberry_full_control
104,3,raspberry,180.0,2,0,0,time
105,1,raspberry,165.5,3,0,0,raspberry_full_control
105,2,raspberry,164.0,3,0,0,raspberry_full_control
106,1,blueberry,180.0,-3,0,0,time
106,2,blueberry,154.5,-3,0,0,blueberry_full_control
107,1,raspberry,162.0,3,1,0,raspberry_full_control
107,2,blueberry,139.5,-3,1,0,blueberry_full_control
107,3,raspberry,131.0,3,1,0,raspberry_full_control
108,1,raspberry,180.0,2,0,0,time
108,2,raspberry,180.0,2,0,0,time
109,1,blueberry,180.0,-3,0,0,time
109,2,raspberry,180.0,1,1,0,time
109,3,raspberry,180.0,3,1,0,time
110,1,blueberry,178.5,-3,0,1,blueberry_full_control
110,2,blueberry,123.0,-3,0,1,blueberry_full_control
111,1,raspberry,180.0,2,0,0,time
111,2,blueberry,154.5,-3,0,0,blueberry_full_control
111,3,raspberry,180.0,2,0,0,time
112,1,raspberry,180.0,3,0,0,time
112,2,raspberry,149.0,3,0,1,raspberry_full_control
113,1,blueberry,180.0,0,1,1,time
