team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,23988,15.992,0.0861,3732,2.488,18840,588207.69,392.1385,16091825.25,0.0,40544,175111,607803.0,25.3378,6488,22758,21
raspberry,macaron,마카롱,28210,18.8067,0.1013,0,0.0,27179,0.0,0.0,3776388.51,8605692.67,0,50590,535461.5,18.9813,0,7784,18
raspberry,pie,파이,181418,120.9453,0.6515,71612,47.7413,147800,8150360.28,5433.5735,26190751.6,0.0,245995,240337,4673431.5,25.7606,80657,55815,22
raspberry,scone,스콘,20632,13.7547,0.0741,46517,31.0113,13312,5646259.28,3764.1729,6032270.69,0.0,80144,37439,796425.5,38.6015,15376,11789,15
raspberry,tart,타르트,24234,16.156,0.087,33467,22.3113,13504,7305204.18,4870.1361,4497442.86,0.0,193740,25105,1060532.5,43.7622,47424,9003,19
blueberry,baumkuchen,바움쿠헨,18628,12.4187,0.0802,2931,1.954,14302,1075362.73,716.9085,4301837.29,0.0,36834,113587,372835.0,20.0148,3649,24834,20
blueberry,pannacotta,판나코타,18214,12.1427,0.0784,55750,37.1667,16026,13434553.81,8956.3692,604417.27,0.0,10486,15754,159193.5,8.7402,1223,6502,15
blueberry,pie,파이,157267,104.8447,0.6773,42707,28.4713,114345,10800965.27,7200.6435,11493557.36,0.0,215842,322978,3329466.5,21.1708,36639,87741,25
blueberry,scone,스콘,17233,11.4887,0.0742,91289,60.8593,9748,17166219.76,11444.1465,2704256.77,0.0,134569,58646,684857.5,39.741,29844,15714,17
blueberry,tarte_tatin,타르트·타탱,20856,13.904,0.0898,27958,18.6387,11393,14111577.33,9407.7182,2585962.73,0.0,130851,49458,827172.0,39.6611,35794,15154,16
