match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,180.0,2,0,0,time
1,2,raspberry,160.0,3,0,0,raspberry_full_control
2,1,raspberry,174.0,3,0,0,raspberry_full_control
2,2,raspberry,167.5,3,0,0,raspberry_full_control
3,1,blueberry,163.0,-3,0,0,blueberry_full_control
3,2,blueberry,164.0,-3,0,0,blueberry_full_control
4,1,raspberry,180.0,2,0,0,time
4,2,raspberry,180.0,2,0,0,time
5,1,raspberry,180.0,3,0,0,time
5,2,blueberry,180.0,-3,0,0,time
5,3,raspberry,180.0,3,0,0,time
6,1,blueberry,166.0,-3,0,0,blueberry_full_control
6,2,blueberry,180.0,-2,0,0,time
7,1,raspberry,163.5,3,0,0,raspberry_full_control
7,2,raspberry,180.0,3,0,0,time
8,1,blueberry,157.5,-3,0,0,blueberry_full_control
8,2,raspberry,180.0,3,0,0,time
8,3,raspberry,180.0,2,0,0,time
9,1,blueberry,180.0,-3,0,0,time
9,2,raspberry,180.0,3,0,0,time
9,3,raspberry,180.0,3,0,0,time
10,1,raspberry,180.0,2,0,0,time
10,2,blueberry,180.0,-2,0,0,time
10,3,raspberry,180.0,1,0,0,time
11,1,blueberry,180.0,-3,0,0,time
11,2,raspberry,180.0,2,0,0,time
11,3,blueberry,162.0,-3,0,0,blueberry_full_control
12,1,raspberry,180.0,2,0,0,time
12,2,blueberry,180.0,-1,0,0,time
12,3,raspberry,165.5,3,0,0,raspberry_full_control
13,1,blueberry,180.0,-2,0,0,time
13,2,blueberry,153.0,-3,0,0,blueberry_full_control
14,1,raspberry,180.0,2,0,0,time
14,2,blueberry,180.0,-3,0,0,time
14,3,raspberry,180.0,3,0,0,time
15,1,raspberry,180.0,1,0,0,time
15,2,raspberry,180.0,3,0,0,time
16,1,blueberry,180.0,-2,0,1,time
16,2,raspberry,167.0,3,0,1,raspberry_full_control
16,3,blueberry,173.0,-3,0,1,blueberry_full_control
17,1,blueberry,119.0,-1,0,0,raspberry_full_control
17,2,raspberry,180.0,3,0,1,time
17,3,blueberry,174.5,-3,0,1,blueberry_full_control
18,1,raspberry,180.0,3,0,0,time
18,2,raspberry,180.0,2,0,0,time
19,1,raspberry,180.0,3,0,0,time
19,2,blueberry,180.0,-2,0,0,time
19,3,raspberry,180.0,2,0,0,time
20,1,raspberry,180.0,2,0,0,time
20,2,raspberry,180.0,3,0,0,time
21,1,raspberry,180.0,1,0,0,time
21,2,raspberry,180.0,0,0,0,time
22,1,raspberry,175.5,3,0,0,raspberry_full_control
22,2,raspberry,156.5,3,0,0,raspberry_full_control
23,1,blueberry,175.5,-3,0,0,blueberry_full_control
23,2,raspberry,180.0,1,0,0,time
23,3,blueberry,133.5,-3,0,0,blueberry_full_control
24,1,raspberry,180.0,1,0,0,time
24,2,raspberry,180.0,2,0,0,time
25,1,blueberry,180.0,-3,0,0,time
25,2,raspberry,180.0,3,0,0,time
25,3,raspberry,180.0,1,0,0,time
26,1,blueberry,180.0,-3,0,1,time
26,2,blueberry,159.5,-3,0,1,blueberry_full_control
27,1,raspberry,180.0,2,0,0,time
27,2,raspberry,180.0,3,0,0,time
28,1,raspberry,180.0,3,0,0,time
28,2,blueberry,153.0,-3,0,0,blueberry_full_control
28,3,blueberry,153.0,-3,0,0,blueberry_full_control
29,1,blueberry,180.0,-3,0,0,time
29,2,blueberry,180.0,-3,0,0,time
30,1,raspberry,180.0,3,0,0,time
30,2,raspberry,180.0,2,0,0,time
31,1,raspberry,180.0,3,0,0,time
31,2,blueberry,180.0,-3,0,0,time
31,3,raspberry,166.0,3,0,0,raspberry_full_control
32,1,raspberry,180.0,2,0,0,time
32,2,raspberry,180.0,2,0,0,time
33,1,blueberry,180.0,-3,0,0,time
33,2,blueberry,180.0,-3,0,0,time
34,1,blueberry,180.0,-1,0,0,time
34,2,blueberry,156.5,-3,0,0,blueberry_full_control
35,1,raspberry,168.5,3,0,0,raspberry_full_control
35,2,raspberry,180.0,3,0,1,time
36,1,blueberry,180.0,-2,0,0,time
36,2,blueberry,180.0,-3,0,0,time
37,1,raspberry,180.0,3,0,0,time
37,2,raspberry,180.0,3,0,0,time
38,1,blueberry,180.0,-2,0,0,time
38,2,raspberry,180.0,2,0,0,time
38,3,blueberry,180.0,-3,0,0,time
39,1,raspberry,180.0,0,0,0,time
39,2,raspberry,180.0,2,0,0,time
40,1,blueberry,180.0,-3,0,0,time
40,2,raspberry,180.0,2,0,0,time
40,3,blueberry,180.0,-2,0,0,time
41,1,blueberry,163.5,-3,0,0,blueberry_full_control
41,2,raspberry,180.0,3,0,0,time
41,3,raspberry,180.0,1,0,0,time
42,1,blueberry,160.0,-3,0,0,blueberry_full_control
42,2,blueberry,180.0,-2,0,0,time
43,1,raspberry,153.0,3,0,0,raspberry_full_control
43,2,raspberry,165.5,3,0,0,raspberry_full_control
44,1,blueberry,180.0,-2,0,0,time
44,2,raspberry,180.0,1,0,0,time
44,3,blueberry,180.0,-3,0,0,time
45,1,blueberry,157.0,-3,0,0,blueberry_full_control
45,2,blueberry,180.0,-1,0,0,time
46,1,raspberry,180.0,2,0,0,time
46,2,raspberry,180.0,0,0,0,time
47,1,blueberry,180.0,-2,0,0,time
47,2,raspberry,176.0,3,0,0,raspberry_full_control
47,3,raspberry,180.0,2,0,0,time
48,1,raspberry,180.0,2,0,0,time
48,2,raspberry,180.0,2,0,0,time
49,1,raspberry,180.0,3,0,0,time
49,2,blueberry,180.0,-3,0,0,time
49,3,raspberry,180.0,1,0,0,time
50,1,blueberry,169.0,-3,0,0,blueberry_full_control
50,2,raspberry,180.0,0,1,0,time
50,3,raspberry,160.0,3,1,0,raspberry_full_control
51,1,raspberry,180.0,2,0,0,time
51,2,raspberry,180.0,1,0,0,time
52,1,blueberry,142.5,-3,0,0,blueberry_full_control
52,2,blueberry,142.5,-3,0,0,blueberry_full_control
53,1,raspberry,180.0,2,0,0,time
53,2,raspberry,180.0,2,0,0,time
54,1,blueberry,180.0,-2,0,0,time
54,2,raspberry,180.0,2,0,0,time
54,3,raspberry,180.0,3,0,0,time
55,1,blueberry,180.0,-1,0,0,time
55,2,blueberry,180.0,-2,0,0,time
56,1,raspberry,180.0,2,0,0,time
56,2,blueberry,180.0,-3,0,0,time
56,3,blueberry,180.0,-3,0,0,time
57,1,raspberry,166.5,3,0,0,raspberry_full_control
57,2,raspberry,180.0,2,0,0,time
58,1,raspberry,180.0,1,0,0,time
58,2,raspberry,180.0,3,0,0,time
59,1,raspberry,180.0,3,0,0,time
59,2,raspberry,180.0,3,0,0,time
60,1,raspberry,154.5,3,0,0,raspberry_full_control
60,2,raspberry,173.0,3,0,0,raspberry_full_control
61,1,raspberry,180.0,2,0,0,time
61,2,blueberry,180.0,-1,0,0,time
61,3,raspberry,180.0,2,0,0,time
62,1,raspberry,180.0,3,0,0,time
62,2,blueberry,162.0,-3,0,0,blueberry_full_control
62,3,raspberry,180.0,3,0,0,time
63,1,raspberry,171.5,3,0,0,raspberry_full_control
63,2,raspberry,104.0,0,0,0,raspberry_full_control
64,1,raspberry,180.0,3,0,0,time
64,2,raspberry,180.0,0,0,0,time
65,1,blueberry,180.0,-2,0,0,time
65,2,raspberry,180.0,2,0,0,time
65,3,blueberry,94.0,-1,0,0,raspberry_full_control
66,1,blueberry,147.5,-3,0,0,blueberry_full_control
66,2,blueberry,154.0,-3,0,0,blueberry_full_control
67,1,raspberry,180.0,3,0,1,time
67,2,blueberry,156.5,-3,0,1,blueberry_full_control
67,3,blueberry,143.5,-3,0,1,blueberry_full_control
68,1,blueberry,180.0,-3,0,0,time
68,2,raspberry,180.0,3,0,0,time
68,3,blueberry,165.5,-3,0,0,blueberry_full_control
69,1,raspberry,173.0,3,0,0,raspberry_full_control
69,2,raspberry,180.0,3,0,0,time
70,1,raspberry,180.0,3,0,0,time
70,2,raspberry,180.0,3,0,0,time
71,1,raspberry,180.0,3,0,0,time
71,2,raspberry,180.0,2,0,0,time
72,1,raspberry,171.0,3,0,0,raspberry_full_control
72,2,raspberry,180.0,3,0,0,time
73,1,blueberry,180.0,-2,0,0,time
73,2,blueberry,152.0,-3,0,0,blueberry_full_control
74,1,blueberry,95.5,-1,0,0,raspberry_full_control
74,2,raspberry,180.0,2,0,0,time
74,3,blueberry,138.0,0,0,0,raspberry_full_control
75,1,raspberry,165.0,3,0,0,raspberry_full_control
75,2,raspberry,180.0,3,0,0,time
76,1,raspberry,172.5,3,0,0,raspberry_full_control
76,2,raspberry,180.0,3,0,0,time
77,1,blueberry,141.5,-3,0,0,blueberry_full_control
77,2,blueberry,149.0,-3,0,0,blueberry_full_control
78,1,blueberry,146.5,-3,0,0,blueberry_full_control
78,2,blueberry,155.0,-3,0,0,blueberry_full_control
79,1,blueberry,180.0,-1,0,0,time
79,2,raspberry,180.0,3,1,0,time
79,3,raspberry,129.0,3,1,0,raspberry_full_control
80,1,raspberry,152.5,2,0,0,raspberry_full_control
80,2,blueberry,180.0,-3,0,0,time
80,3,blueberry,180.0,-3,0,0,time
81,1,raspberry,180.0,3,0,0,time
81,2,raspberry,180.0,3,0,0,time
82,1,raspberry,180.0,2,0,1,time
82,2,blueberry,145.5,-3,0,1,blueberry_full_control
82,3,blueberry,162.5,-3,0,1,blueberry_full_control
83,1,raspberry,180.0,3,0,0,time
83,2,raspberry,180.0,1,0,0,time
84,1,blueberry,157.5,-3,0,0,blueberry_full_control
84,2,raspberry,180.0,2,0,0,time
84,3,raspberry,180.0,1,0,0,time
85,1,raspberry,180.0,1,0,0,time
85,2,blueberry,158.5,-3,0,0,blueberry_full_control
85,3,blueberry,169.0,-3,0,0,blueberry_full_control
86,1,raspberry,180.0,1,0,0,time
86,2,raspberry,180.0,1,0,0,time
87,1,raspberry,180.0,3,0,0,time
87,2,raspberry,173.0,3,0,0,raspberry_full_control
88,1,raspberry,180.0,2,0,0,time
88,2,raspberry,180.0,2,0,0,time
89,1,blueberry,180.0,-2,0,0,time
89,2,raspberry,180.0,3,0,0,time
89,3,raspberry,167.5,3,0,0,raspberry_full_control
90,1,raspberry,180.0,0,0,0,time
90,2,raspberry,174.5,3,0,0,raspberry_full_control
91,1,raspberry,180.0,1,0,0,time
91,2,raspberry,180.0,3,0,0,time
92,1,blueberry,180.0,-1,0,1,time
92,2,blueberry,180.0,-2,0,1,time
93,1,blueberry,180.0,-1,0,0,time
93,2,blueberry,164.5,-3,0,0,blueberry_full_control
94,1,raspberry,164.0,3,0,0,raspberry_full_control
94,2,raspberry,180.0,2,0,0,time
95,1,blueberry,180.0,-3,0,0,time
95,2,raspberry,180.0,1,0,0,time
95,3,raspberry,180.0,3,0,0,time
96,1,blueberry,154.5,-3,0,0,blueberry_full_control
96,2,blueberry,154.5,-3,0,0,blueberry_full_control
97,1,blueberry,180.0,-2,0,0,time
97,2,raspberry,180.0,3,0,0,time
97,3,blueberry,180.0,-3,0,1,time
98,1,raspberry,180.0,1,0,0,time
98,2,blueberry,180.0,-1,0,0,time
98,3,raspberry,180.0,2,0,0,time
99,1,blueberry,180.0,-3,0,0,time
99,2,raspberry,180.0,2,0,0,time
99,3,blueberry,180.0,-1,0,0,time
100,1,raspberry,180.0,3,0,0,time
100,2,raspberry,180.0,3,0,0,time
101,1,blueberry,180.0,-3,0,0,time
101,2,blueberry,157.5,-3,0,0,blueberry_full_control
102,1,raspberry,180.0,3,0,0,time
102,2,raspberry,163.5,3,0,0,raspberry_full_control
103,1,raspberry,180.0,3,0,0,time
103,2,raspberry,171.5,3,0,0,raspberry_full_control
104,1,raspberry,167.5,3,0,0,raspberry_full_control
104,2,raspberry,168.5,3,0,0,raspberry_full_control
105,1,raspberry,180.0,1,0,0,time
105,2,raspberry,174.5,3,0,0,raspberry_full_control
106,1,blueberry,180.0,-3,0,0,time
106,2,raspberry,180.0,0,0,0,time
106,3,blueberry,180.0,-2,0,0,time
107,1,blueberry,180.0,-3,0,0,time
107,2,blueberry,179.5,-3,0,0,blueberry_full_control
108,1,blueberry,156.5,-3,0,1,blueberry_full_control
108,2,raspberry,180.0,2,0,1,time
108,3,raspberry,180.0,2,0,1,time
109,1,raspberry,180.0,2,0,0,time
109,2,blueberry,180.0,-3,0,0,time
109,3,blueberry,144.5,-3,0,0,blueberry_full_control
110,1,raspberry,153.5,3,0,0,raspberry_full_control
110,2,raspberry,180.0,3,0,0,time
111,1,raspberry,180.0,1,0,0,time
111,2,blueberry,180.0,-1,0,0,time
111,3,blueberry,180.0,-3,0,0,time
112,1,raspberry,180.0,2,0,0,time
112,2,raspberry,166.5,3,0,0,raspberry_full_control
113,1,raspberry,180.0,3,0,0,time
113,2,raspberry,174.5,3,0,0,raspberry_full_control
114,1,raspberry,180.0,3,0,0,time
114,2,raspberry,180.0,2,0,0,time
115,1,raspberry,180.0,0,0,0,time
115,2,raspberry,180.0,2,0,0,time
116,1,blueberry,175.0,-3,0,0,blueberry_full_control
116,2,raspberry,180.0,1,0,1,time
116,3,blueberry,135.0,-3,0,1,blueberry_full_control
117,1,raspberry,180.0,0,0,0,time
117,2,raspberry,173.0,3,0,0,raspberry_full_control
118,1,raspberry,111.5,0,0,0,raspberry_full_control
118,2,raspberry,178.0,3,0,0,raspberry_full_control
119,1,blueberry,180.0,-1,0,0,time
119,2,raspberry,180.0,3,0,0,time
119,3,blueberry,176.5,-3,0,1,blueberry_full_control
120,1,blueberry,180.0,-2,0,0,time
120,2,raspberry,93.5,1,0,0,raspberry_full_control
120,3,raspberry,180.0,3,0,0,time
121,1,raspberry,180.0,3,0,0,time
121,2,raspberry,178.0,3,0,0,raspberry_full_control
122,1,raspberry,180.0,2,0,1,time
122,2,raspberry,180.0,0,0,1,time
123,1,blueberry,178.5,-3,0,0,blueberry_full_control
123,2,raspberry,180.0,0,0,0,time
123,3,blueberry,180.0,-3,0,0,time
124,1,blueberry,180.0,-3,0,0,time
