match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,raspberry,2,0,2,3,3,upgrade_focus,upgrade_focus
2,raspberry,2,1,3,5,2,upgrade_focus,upgrade_focus
3,raspberry,2,0,2,3,1,upgrade_focus,swarm_focus
4,raspberry,2,0,2,3,1,upgrade_focus,swarm_focus
5,raspberry,2,0,2,3,1,upgrade_focus,swarm_focus
6,raspberry,2,1,3,3,3,upgrade_focus,upgrade_focus
7,raspberry,2,1,3,3,1,upgrade_focus,swarm_focus
8,blueberry,0,2,2,3,3,upgrade_focus,upgrade_focus
9,raspberry,2,0,2,3,1,upgrade_focus,swarm_focus
10,raspberry,2,0,2,3,1,upgrade_focus,swarm_focus
11,blueberry,1,2,3,2,2,upgrade_focus,upgrade_focus
12,blueberry,0,2,2,1,1,mixed_composition,swarm_focus
13,raspberry,2,0,2,2,1,upgrade_focus,mixed_composition
14,raspberry,2,1,3,3,1,upgrade_focus,swarm_focus
15,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
16,raspberry,2,0,2,2,1,upgrade_focus,swarm_focus
17,raspberry,2,0,2,2,1,upgrade_focus,mixed_composition
18,raspberry,2,0,2,2,1,upgrade_focus,swarm_focus
19,raspberry,2,1,3,5,1,upgrade_focus,swarm_focus
20,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
21,raspberry,2,0,2,2,1,upgrade_focus,swarm_focus
22,raspberry,2,1,3,2,2,upgrade_focus,upgrade_focus
23,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
24,raspberry,2,1,3,2,1,upgrade_focus,swarm_focus
25,raspberry,2,0,2,2,1,upgrade_focus,swarm_focus
26,raspberry,2,1,3,3,2,upgrade_focus,upgrade_focus
27,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
28,blueberry,0,2,2,1,1,swarm_focus,swarm_focus
29,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
30,raspberry,2,1,3,2,1,upgrade_focus,swarm_focus
31,raspberry,2,0,2,2,1,upgrade_focus,mixed_composition
32,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
33,blueberry,0,2,2,2,2,upgrade_focus,upgrade_focus
34,raspberry,2,1,3,2,1,upgrade_focus,mixed_composition
35,raspberry,2,0,2,4,1,upgrade_focus,swarm_focus
36,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
37,raspberry,2,1,3,3,1,upgrade_focus,swarm_focus
38,blueberry,1,2,3,1,1,mixed_composition,swarm_focus
39,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
40,raspberry,2,1,3,3,3,upgrade_focus,upgrade_focus
41,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
42,blueberry,0,2,2,2,2,upgrade_focus,upgrade_focus
43,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
44,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
45,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
46,blueberry,0,2,2,1,3,swarm_focus,upgrade_focus
47,blueberry,0,2,2,2,3,upgrade_focus,upgrade_focus
48,raspberry,2,0,2,1,1,mixed_composition,swarm_focus
49,raspberry,2,0,2,3,2,upgrade_focus,upgrade_focus
50,blueberry,1,2,3,2,2,upgrade_focus,upgrade_focus
51,blueberry,0,2,2,2,2,upgrade_focus,upgrade_focus
52,blueberry,1,2,3,1,1,mixed_composition,swarm_focus
53,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
54,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
55,raspberry,2,1,3,2,1,upgrade_focus,mixed_composition
56,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
57,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
58,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
59,raspberry,2,1,3,3,1,upgrade_focus,swarm_focus
60,raspberry,2,0,2,1,1,mixed_composition,swarm_focus
61,blueberry,0,2,2,1,2,swarm_focus,upgrade_focus
62,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
63,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
64,raspberry,2,0,2,2,1,upgrade_focus,mixed_composition
65,raspberry,2,1,3,2,2,upgrade_focus,upgrade_focus
66,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
67,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
68,raspberry,2,0,2,1,1,mixed_composition,swarm_focus
69,blueberry,1,2,3,2,3,upgrade_focus,upgrade_focus
70,blueberry,0,2,2,1,1,mixed_composition,swarm_focus
71,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
72,raspberry,2,1,3,2,2,upgrade_focus,upgrade_focus
73,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
74,blueberry,1,2,3,1,2,mixed_composition,upgrade_focus
75,blueberry,0,2,2,1,2,mixed_composition,upgrade_focus
76,blueberry,0,2,2,1,2,mixed_composition,upgrade_focus
77,raspberry,2,0,2,1,1,mixed_composition,swarm_focus
78,blueberry,1,2,3,1,4,swarm_focus,upgrade_focus
79,blueberry,1,2,3,1,2,mixed_composition,upgrade_focus
80,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
81,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
82,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
83,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
84,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
85,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
86,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
87,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
88,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
89,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
90,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
91,raspberry,2,0,2,2,2,upgrade_focus,upgrade_focus
92,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
93,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
94,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
95,raspberry,2,0,2,2,3,upgrade_focus,upgrade_focus
96,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
97,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
98,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
99,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
100,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
101,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
102,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
103,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
104,blueberry,1,2,3,1,2,mixed_composition,upgrade_focus
105,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
106,blueberry,0,2,2,1,1,mixed_composition,swarm_focus
107,raspberry,2,0,2,2,2,upgrade_focus,upgrade_focus
108,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
109,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
110,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
111,raspberry,2,0,2,2,2,upgrade_focus,upgrade_focus
112,raspberry,2,1,3,2,1,upgrade_focus,mixed_composition
113,blueberry,1,2,3,3,3,upgrade_focus,upgrade_focus
114,raspberry,2,1,3,1,2,mixed_composition,upgrade_focus
115,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
116,blueberry,0,2,2,1,2,mixed_composition,upgrade_focus
117,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
118,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
119,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
120,raspberry,2,1,3,2,2,upgrade_focus,upgrade_focus
121,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
122,raspberry,2,1,3,2,2,upgrade_focus,upgrade_focus
123,blueberry,0,2,2,1,2,mixed_composition,upgrade_focus
124,blueberry,0,2,2,1,3,swarm_focus,upgrade_focus
125,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
126,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
127,blueberry,1,2,3,2,3,upgrade_focus,upgrade_focus
128,blueberry,0,2,2,1,2,mixed_composition,upgrade_focus
129,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
130,blueberry,1,2,3,1,3,mixed_composition,upgrade_focus
131,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
132,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
133,raspberry,2,1,3,2,1,upgrade_focus,mixed_composition
134,raspberry,2,0,2,2,1,upgrade_focus,mixed_composition
135,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
136,blueberry,1,2,3,1,2,mixed_composition,upgrade_focus
137,blueberry,1,2,3,1,2,mixed_composition,upgrade_focus
138,blueberry,1,2,3,2,2,upgrade_focus,upgrade_focus
139,raspberry,2,0,2,1,2,mixed_composition,upgrade_focus
140,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
141,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
142,blueberry,0,2,2,1,3,mixed_composition,upgrade_focus
143,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
144,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
145,blueberry,1,2,3,1,2,mixed_composition,upgrade_focus
146,blueberry,1,2,3,1,3,mixed_composition,upgrade_focus
147,blueberry,1,2,3,2,1,upgrade_focus,mixed_composition
148,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
149,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
150,raspberry,2,0,2,2,2,upgrade_focus,upgrade_focus
151,blueberry,0,2,2,1,2,mixed_composition,upgrade_focus
