team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,38816,25.8773,0.1898,6168,4.112,32135,1300274.43,866.8496,31506404.8,0.0,84212,297990,848054.0,21.8481,10967,28395,19
raspberry,macaron,마카롱,40783,27.1887,0.1994,0,0.0,39188,0.0,0.0,5262520.22,13877377.11,0,67082,569967.5,13.9756,0,9428,14
raspberry,pie,파이,58870,39.2467,0.2878,17778,11.852,47957,2896217.09,1930.8114,10074662.31,0.0,77024,79354,1250920.5,21.2489,16403,15155,17
raspberry,scone,스콘,27550,18.3667,0.1347,54108,36.072,18738,8740721.63,5827.1478,10128776.0,0.0,107884,56532,915223.0,33.2204,18116,13766,16
raspberry,tart,타르트,38526,25.684,0.1883,43083,28.722,23347,10911801.79,7274.5345,8796444.75,0.0,287305,48010,1387367.0,36.0112,65261,12910,18
blueberry,baumkuchen,바움쿠헨,26834,17.8893,0.1497,6248,4.1653,21228,2879379.5,1919.5863,7284768.78,0.0,88290,187874,587997.5,21.9124,6499,28599,19
blueberry,pannacotta,판나코타,25292,16.8613,0.1411,52843,35.2287,22970,19771137.74,13180.7585,918020.4,0.0,15608,21485,221384.5,8.7531,1517,7848,15
blueberry,pie,파이,80862,53.908,0.4511,24265,16.1767,61500,9498156.06,6332.104,7125205.41,0.0,167701,176777,1786244.5,22.09,21507,35576,18
blueberry,scone,스콘,18578,12.3853,0.1036,53414,35.6093,12930,18069931.04,12046.6207,3937168.17,0.0,119645,84443,619881.5,33.3664,17583,18293,16
blueberry,tarte_tatin,타르트·타탱,27674,18.4493,0.1544,24595,16.3967,18117,15550203.75,10366.8025,4583852.18,0.0,157724,85846,978939.5,35.374,32548,20431,19
