team,unit_key,score,produced_per_round,kills_per_round,damage_per_round,healing
blueberry,pannacotta,6810.17,7.64,27.5,4517.8472,0.0
raspberry,scone,6609.02,7.63,29.0,3935.1809,0.0
raspberry,pie,4049.08,39.29,10.99,2540.3638,0.0
blueberry,pie,3594.58,31.96,15.36,2078.901,0.0
blueberry,scone,2169.78,3.67,7.41,1547.6214,0.0
blueberry,tarte_tatin,1887.82,5.29,4.57,1479.9024,0.0
raspberry,tart,1847.23,9.39,4.13,1353.7145,0.0
blueberry,baumkuchen,440.03,5.17,1.08,312.2666,0.0
raspberry,macaron,25.68,3.21,0.0,0.0,30825.07
raspberry,baumkuchen,6.32,0.79,0.0,0.0,0.0
