match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades
1,blueberry,1,2,3,1,1
2,blueberry,1,2,3,1,1
3,raspberry,2,0,2,1,1
4,raspberry,2,1,3,1,1
5,blueberry,1,2,3,1,1
6,blueberry,1,2,3,1,1
7,raspberry,2,0,2,1,1
8,raspberry,2,0,2,1,1
9,raspberry,2,1,3,1,1
10,blueberry,1,2,3,1,1
11,blueberry,1,2,3,1,1
12,raspberry,2,1,3,1,1
13,blueberry,1,2,3,1,1
14,blueberry,1,2,3,1,1
15,raspberry,2,1,3,1,1
16,raspberry,2,0,2,1,1
17,blueberry,1,2,3,1,1
18,raspberry,2,1,3,1,1
19,raspberry,2,1,3,1,1
20,raspberry,2,0,2,1,1
21,blueberry,1,2,3,1,1
22,blueberry,1,2,3,1,1
23,raspberry,2,1,3,1,1
24,blueberry,1,2,3,1,1
25,blueberry,1,2,3,1,1
26,raspberry,2,0,2,1,1
27,raspberry,2,1,3,1,1
28,raspberry,2,0,2,1,1
29,blueberry,1,2,3,1,1
30,blueberry,1,2,3,1,1
31,raspberry,2,1,3,1,1
32,raspberry,2,0,2,1,1
33,raspberry,2,0,2,1,1
34,raspberry,2,0,2,1,1
35,blueberry,1,2,3,1,1
36,raspberry,2,0,2,1,1
37,raspberry,2,0,2,1,1
