team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,475,4.75,0.0787,111,1.11,439,9981.21,99.8121,191562.99,0.0,821,2115,4631.5,9.7505,142,75,4
raspberry,macaron,마카롱,284,2.84,0.0471,0,0.0,284,0.0,0.0,14200.0,43725.3,0,213,1376.25,4.846,0,1,2
raspberry,pie,파이,3880,38.8,0.6429,1911,19.11,3679,314861.35,3148.6135,509335.09,0.0,8544,6220,35076.5,9.0403,1829,371,7
raspberry,scone,스콘,662,6.62,0.1097,1467,14.67,662,236522.75,2365.2275,214283.07,0.0,2305,2077,10376.75,15.6748,120,173,3
raspberry,tart,타르트,734,7.34,0.1216,645,6.45,648,203061.42,2030.6142,166454.7,0.0,5261,574,16068.25,21.8913,466,81,3
blueberry,baumkuchen,바움쿠헨,544,5.44,0.1058,197,1.97,431,48937.53,489.3753,178305.65,0.0,1727,3410,7478.0,13.7463,127,164,2
blueberry,pannacotta,판나코타,826,8.26,0.1607,2689,26.89,826,477073.55,4770.7355,32321.92,0.0,501,877,2151.0,2.6041,0,132,6
blueberry,pie,파이,2692,26.92,0.5236,1401,14.01,2436,230167.74,2301.6774,318779.84,0.0,4842,7733,19405.0,7.2084,310,1110,6
blueberry,scone,스콘,292,2.92,0.0568,1075,10.75,292,183336.97,1833.3697,75920.0,0.0,1589,1471,4818.25,16.5009,34,150,5
blueberry,tarte_tatin,타르트·타탱,787,7.87,0.1531,350,3.5,650,156320.06,1563.2006,159099.32,0.0,2540,3440,10849.0,13.7853,230,1001,6
